texto,categoria,urgencia
"Me permito solicitar de manera formal el acceso a la app móvil, de acuerdo con los derechos que me asisten como ciudadano.",Petición,Baja
Respetuosamente elevo solicitud formal para que se gestione los turnos de atención en el menor tiempo posible.,Petición,Media
El proceso es demasiado complicado y genera mucha confusión. Sería mejor simplificarlo para los usuarios.,Sugerencia,Baja
"Sería muy útil que mandaran un correo cuando el servicio técnico esté listo, así no toca venir a preguntar.",Sugerencia,Media
"Me parece que el personal necesita más capacitación, no es la primera vez que me dan información incorrecta.",Queja,Baja
No funciona nada aquí.,Queja,Media
Nunca había tenido que hacer el servicio técnico y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Media
Nunca había tenido que hacer el área de nómina y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Baja
Hace 5 meses tuve un problema con el portal estudiantil que causó un perjuicio económico directo. He seguido el conducto regular y no he obtenido ninguna respuesta formal.,Reclamo,Alta
Por fabor necesito información de mis tramites lo antes posible.,Petición,Baja
"Sugiero se contemple la posibilidad de digitalizar facturación, lo cual reduciría costos operativos y mejoraría la satisfacción del usuario.",Sugerencia,Media
"No puedo creer lo mal que funciona la línea de atención telefónica, es una vergüenza para la institución.",Queja,Baja
Los adultos mayores tienen muchas dificultades con facturación. Propongo un módulo de atención preferencial con personal capacitado para este grupo.,Sugerencia,Baja
"Me permito sugerir respetuosamente la implementación de mejoras en la línea de atención telefónica, con el fin de optimizar la experiencia del usuario y reducir los tiempos de atención.",Sugerencia,Baja
"Me prometieron solucionar la renovación de documentos en 4 días y ya van 4 semanas, esto no puede seguir así.",Reclamo,Alta
¿Cómo accedo a los trámites de matrícula?,Petición,Baja
Nunca había tenido que hacer la plataforma web y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Baja
"Llevo meses esperando respueta y nadie me contacta, esto es injusto.",Reclamo,Alta
"Necesito que alguien me explique cómo funciona los turnos de atención, nadie me ha dado una respuesta clara.",Petición,Media
"Oigan, una sugerencia: pongan más personal para el servicio técnico en las horas pico, siempre hay filas enormes.",Sugerencia,Baja
Llevo 3 meses esperando solución a el proceso de inscripción.,Reclamo,Alta
"Reclamo formalmente la prestación adecuada de certificados según el contrato suscrito, el cual no ha sido cumplido en sus términos.",Reclamo,Alta
"Me permito solicitar de manera formal el acceso a los trámites de matrícula, de acuerdo con los derechos que me asisten como ciudadano.",Petición,Media
Llevo semanas sin poder acceder al portal y nadie me da respuesta. ¿Es esto normal?,Queja,Media
"Fui a realizar los turnos de atención y la funcionaria me atendió de mala manera, no escuchó mis explicaciones y me dijo que volviera otro día sin justificación.",Queja,Media
Deberían mejorar esto.,Sugerencia,Media
Por fabor necesito información de mis tramites lo antes posible.,Petición,Baja
Llevo 7 semanas intentando entender el procedimiento para pagos en línea. He revisado la página pero la información está desactualizada.,Petición,Media
Los adultos mayores tienen muchas dificultades con la plataforma web. Propongo un módulo de atención preferencial con personal capacitado para este grupo.,Sugerencia,Baja
"La atención fue muy lenta y el sistema estaba caído, pero al final el funcionario fue amable. Creo que deberían mejorar los tiempos de respuesta.",Sugerencia,Media
Me citaron a las 8am para la carnetización y no me atendieron hasta las 12:30pm sin ninguna explicación sobre la demora. Perdí medio día de trabajo.,Queja,Media
El proceso es demasiado complicado y genera mucha confusión. Sería mejor simplificarlo para los usuarios.,Sugerencia,Baja
Esto está muy mal organizado.,Queja,Baja
El personal encargado de los turnos de atención es muy poco amable y no sabe lo que hace.,Queja,Alta
Reclamo formal por trámites académicos. Adjunto pruebas.,Reclamo,Alta
Me podrían decir qué documentos necesito para la app móvil? Gracias de antemano.,Petición,Baja
"Exijo que me devuelvan mi plata por el portal estudiantil, ya pagué y no recibí nada de lo prometido.",Reclamo,Alta
"Llevo 4 semanas con este problema de la línea de atención telefónica y nadie hace nada, es desesperante.",Queja,Alta
"La atención fue muy lenta y el sistema estaba caído, pero al final el funcionario fue amable. Creo que deberían mejorar los tiempos de respuesta.",Sugerencia,Baja
Nunca había tenido que hacer el proceso de inscripción y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Baja
Firmé un contrato que garantizaba ciertos estándares en el sistema de citas. Desde el primer día el servicio ha sido deficiente y nadie asume responsabilidad.,Reclamo,Alta
El personal encargado de el sistema de pagos es muy poco amable y no sabe lo que hace.,Queja,Media
"Sería muy útil que mandaran un correo cuando facturación esté listo, así no toca venir a preguntar.",Sugerencia,Media
"Buenas, quisiera saber si es posible conseguir un certificado de la plataforma web esta semana.",Petición,Baja
Propongo más capacitación del personal en atención al cliente.,Sugerencia,Media
"Me dirijo respetuosamente a su despacho con el fin de solicitar la línea de atención telefónica, documento necesario para adelantar un trámite ante una entidad externa.",Petición,Media
"Exijo que me devuelvan mi plata por el portal estudiantil, ya pagué y no recibí nada de lo prometido.",Reclamo,Alta
Sugiero que mejoren la pagina web porque es muy dificil de usar.,Sugerencia,Baja
Exijo reembolso por el área de nómina.,Reclamo,Media
"En mi calidad de usuario activo, solicito que se me expida constancia relacionada con el sistema de citas, requerida con carácter urgente.",Petición,Media
Sería útil simplificar la plataforma web.,Sugerencia,Media
"Reclamo formalmente la prestación adecuada de la carnetización según el contrato suscrito, el cual no ha sido cumplido en sus términos.",Reclamo,Media
Trabajo en el sector y puedo decir que otras entidades han mejorado el servicio técnico implementando notificaciones automáticas. Sería fácil de adoptar aquí.,Sugerencia,Media
"No puedo creer lo mal que funciona el servicio técnico, es una vergüenza para la institución.",Queja,Alta
Ya se pasó el plazo que me dieron para resolver la carnetización y siguen sin cumplir.,Reclamo,Alta
"El personal de el sistema de citas me dio información incorrecta que me hizo perder tiempo y dinero. Cuando volví a reclamar, el agente fue muy grosero.",Queja,Media
Recomiendo revisar los tiempos en trámites académicos.,Sugerencia,Baja
"Me prometieron solucionar la app móvil en 6 días y ya van 6 semanas, esto no puede seguir así.",Reclamo,Alta
Propongo más capacitación del personal en la renovación de documentos.,Sugerencia,Baja
Me citaron a las 8am para la app móvil y no me atendieron hasta las 12:30pm sin ninguna explicación sobre la demora. Perdí medio día de trabajo.,Queja,Media
"Llevo 2 semanas con este problema de pagos en línea y nadie hace nada, es desesperante.",Queja,Media
"Me permito sugerir respetuosamente la implementación de mejoras en el sistema de pagos, con el fin de optimizar la experiencia del usuario y reducir los tiempos de atención.",Sugerencia,Baja
Hace 1 meses tuve un problema con devoluciones que causó un perjuicio económico directo. He seguido el conducto regular y no he obtenido ninguna respuesta formal.,Reclamo,Alta
"Elevo propuesta de mejora para certificados, considerando que su optimización beneficiaría a un gran número de usuarios.",Sugerencia,Media
No entiendo por qué me cobraron un valor diferente al de la factura anterior. Necesito que alguien me explique ese incremento.,Queja,Alta
El personal encargado de la renovación de documentos es muy poco amable y no sabe lo que hace.,Queja,Alta
"Sería buenísimo que mejoraran los turnos de atención, todos los usuarios se quejan de lo mismo.",Sugerencia,Baja
"Elevo queja formal por el trato inadecuado recibido en el proceso de inscripción, el cual no corresponde con los estándares de calidad prometidos.",Queja,Baja
Nadie contesta el teléfono.,Queja,Alta
Propongo más capacitación del personal en el proceso de inscripción.,Sugerencia,Media
El 6 de este mes realicé un pago de más de 500.000 pesos por los trámites de matrícula. El cargo apareció en mi extracto pero no se ha aplicado. He enviado el comprobante 6 veces sin respuesta.,Reclamo,Alta
Hace 5 meses tuve un problema con el sistema de citas que causó un perjuicio económico directo. He seguido el conducto regular y no he obtenido ninguna respuesta formal.,Reclamo,Alta
Llevo 4 semanas intentando entender el procedimiento para el proceso de inscripción. He revisado la página pero la información está desactualizada.,Petición,Baja
Me citaron a las 8am para el área de nómina y no me atendieron hasta las 12:30pm sin ninguna explicación sobre la demora. Perdí medio día de trabajo.,Queja,Media
Exijo mi dinero de vuelta.,Reclamo,Alta
¿Por qué no implementan una opción en línea para el sistema de pagos? Ahorraría mucho tiempo a todos.,Sugerencia,Baja
"Elevo propuesta de mejora para la carnetización, considerando que su optimización beneficiaría a un gran número de usuarios.",Sugerencia,Baja
Soy estudiante de último semestre y necesito tramitar el portal estudiantil antes del 3 de diciembre para poder graduarme. ¿Cuál es el proceso?,Petición,Baja
La aplicación de atención al cliente lleva 1 días sin funcionar. He intentado contactar soporte 1 veces y nadie responde ni por correo ni por teléfono.,Queja,Alta
Pido información actualizada sobre el portal estudiantil.,Petición,Media
El 2 de este mes realicé un pago de más de 500.000 pesos por certificados. El cargo apareció en mi extracto pero no se ha aplicado. He enviado el comprobante 2 veces sin respuesta.,Reclamo,Alta
"Hola, ¿me pueden ayudar con información sobre los turnos de atención? No sé muy bien a quién dirigirme.",Petición,Baja
Los adultos mayores tienen muchas dificultades con tiempos de entrega. Propongo un módulo de atención preferencial con personal capacitado para este grupo.,Sugerencia,Baja
Me prometieron que el portal estudiantil estaría resuelto en 1 días hábiles. Ya van 1 meses y el problema persiste. Voy a escalar a los organismos de control si no hay respuesta esta semana.,Reclamo,Media
"En mi calidad de usuario activo, solicito que se me expida constancia relacionada con la carnetización, requerida con carácter urgente.",Petición,Baja
Mi empleador me pide un documento de certificados para renovar mi contrato. ¿Cuánto tiempo tarda el trámite y qué debo presentar?,Petición,Baja
"Interpongo reclamo formal por incumplimiento en los turnos de atención, del cual adjunto pruebas documentales, y exijo respuesta en los términos legales.",Reclamo,Alta
Los adultos mayores tienen muchas dificultades con certificados. Propongo un módulo de atención preferencial con personal capacitado para este grupo.,Sugerencia,Baja
Reclamo formal por pagos en línea. Adjunto pruebas.,Reclamo,Alta
Los adultos mayores tienen muchas dificultades con los turnos de atención. Propongo un módulo de atención preferencial con personal capacitado para este grupo.,Sugerencia,Baja
El proceso es demasiado complicado y genera mucha confusión. Sería mejor simplificarlo para los usuarios.,Sugerencia,Baja
Nunca había tenido que hacer los turnos de atención y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Media
No entiendo por qué me cobraron un valor diferente al de la factura anterior. Necesito que alguien me explique ese incremento.,Queja,Baja
Respetuosamente elevo solicitud formal para que se gestione la renovación de documentos en el menor tiempo posible.,Petición,Baja
Llevo 3 meses reclamando por la línea de atención telefónica y nadie me da solución. Voy a poner una denuncia.,Reclamo,Alta
"Oigan, ¿dónde puedo hacer el trámite de trámites académicos? La página no lo explica bien.",Petición,Media
Me podrían decir qué documentos necesito para devoluciones? Gracias de antemano.,Petición,Baja
Me podrían decir qué documentos necesito para la app móvil? Gracias de antemano.,Petición,Baja
"Elevo propuesta de mejora para certificados, considerando que su optimización beneficiaría a un gran número de usuarios.",Sugerencia,Baja
Pido información actualizada sobre el proceso de inscripción.,Petición,Baja
"Exijo el cumplimiento de lo acordado en el proceso de inscripción. Han transcurrido 2 meses sin respuesta, lo cual constituye un incumplimiento contractual.",Reclamo,Alta
No entiendo por qué me cobraron un valor diferente al de la factura anterior. Necesito que alguien me explique ese incremento.,Queja,Media
"Me veo en la necesidad de expresar formalmente mi descontento con tiempos de entrega, cuya gestión ha sido inapropiada e ineficiente.",Queja,Media
Nunca había tenido que hacer el servicio técnico y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Baja
"Sugiero se contemple la posibilidad de digitalizar pagos en línea, lo cual reduciría costos operativos y mejoraría la satisfacción del usuario.",Sugerencia,Baja
"Exijo el cumplimiento de lo acordado en la plataforma web. Han transcurrido 3 meses sin respuesta, lo cual constituye un incumplimiento contractual.",Reclamo,Alta
Presento reclamo formal por cobro indebido en pagos en línea. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Alta
Exijo reembolso por el portal estudiantil.,Reclamo,Alta
"Sería muy útil que mandaran un correo cuando la renovación de documentos esté listo, así no toca venir a preguntar.",Sugerencia,Media
¿Hay alguna forma más rápida de hacer esto?,Petición,Baja
Creo que hubo un error en mi facturación. ¿Podrían verificar y ajustar si es el caso?,Reclamo,Alta
"Sería buenísimo que mejoraran la línea de atención telefónica, todos los usuarios se quejan de lo mismo.",Sugerencia,Baja
"Elevo queja formal por el trato inadecuado recibido en el sistema de pagos, el cual no corresponde con los estándares de calidad prometidos.",Queja,Baja
"Me permito solicitar de manera formal el acceso a la carnetización, de acuerdo con los derechos que me asisten como ciudadano.",Petición,Baja
Pido información actualizada sobre atención al cliente.,Petición,Baja
El 1 de este mes realicé un pago de más de 500.000 pesos por el proceso de inscripción. El cargo apareció en mi extracto pero no se ha aplicado. He enviado el comprobante 1 veces sin respuesta.,Reclamo,Alta
Nunca había tenido que hacer la renovación de documentos y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Media
Soy estudiante de último semestre y necesito tramitar el sistema de citas antes del 4 de diciembre para poder graduarme. ¿Cuál es el proceso?,Petición,Media
Nunca había tenido que hacer pagos en línea y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Baja
"Fui a realizar el portal estudiantil y el agente me atendió de mala manera, no escuchó mis explicaciones y me dijo que volviera otro día sin justificación.",Queja,Media
"Estoy muy molesto con facturación, es la tercera vez que vengo y nadie me soluciona nada.",Queja,Alta
Presento reclamo formal por cobro indebido en pagos en línea. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Alta
"Fui a realizar el servicio técnico y el funcionario me atendió de mala manera, no escuchó mis explicaciones y me dijo que volviera otro día sin justificación.",Queja,Media
Nadie responde en la plataforma web.,Queja,Alta
Hace 2 meses tuve un problema con pagos en línea que causó un perjuicio económico directo. He seguido el conducto regular y no he obtenido ninguna respuesta formal.,Reclamo,Alta
Soy estudiante de último semestre y necesito tramitar el sistema de citas antes del 4 de diciembre para poder graduarme. ¿Cuál es el proceso?,Petición,Baja
Sería útil simplificar tiempos de entrega.,Sugerencia,Baja
Pido información actualizada sobre el sistema de citas.,Petición,Baja
Nunca había tenido que hacer los trámites de matrícula y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Baja
"Hola, ¿me pueden ayudar con información sobre la plataforma web? No sé muy bien a quién dirigirme.",Petición,Baja
"En mi calidad de usuario activo, solicito que se me expida constancia relacionada con certificados, requerida con carácter urgente.",Petición,Baja
"Oigan, una sugerencia: pongan más personal para atención al cliente en las horas pico, siempre hay filas enormes.",Sugerencia,Baja
"No puedo creer lo mal que funciona los turnos de atención, es una vergüenza para la institución.",Queja,Baja
"Sería buenísimo que mejoraran pagos en línea, todos los usuarios se quejan de lo mismo.",Sugerencia,Baja
"Como usuario frecuente, noto que pagos en línea genera muchas confusiones. Sugiero crear una guía paso a paso disponible en la página web y en físico en las instalaciones.",Sugerencia,Baja
Pésimo servicio en la línea de atención telefónica.,Queja,Alta
Pido información actualizada sobre pagos en línea.,Petición,Baja
Nunca había tenido que hacer la línea de atención telefónica y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Media
Trabajo en el sector y puedo decir que otras entidades han mejorado la carnetización implementando notificaciones automáticas. Sería fácil de adoptar aquí.,Sugerencia,Baja
Pésimo servicio en la app móvil.,Queja,Baja
Los adultos mayores tienen muchas dificultades con pagos en línea. Propongo un módulo de atención preferencial con personal capacitado para este grupo.,Sugerencia,Media
"Hola, ¿me pueden ayudar con información sobre la renovación de documentos? No sé muy bien a quién dirigirme.",Petición,Baja
"Por medio de la presente, solicito comedidamente que se me suministre información detallada sobre el servicio técnico, conforme a los procedimientos establecidos.",Petición,Media
"Sería buenísimo que mejoraran el sistema de pagos, todos los usuarios se quejan de lo mismo.",Sugerencia,Baja
"Hola, ¿me pueden ayudar con información sobre devoluciones? No sé muy bien a quién dirigirme.",Petición,Baja
"Con el ánimo de contribuir al mejoramiento institucional, propongo que se revisen los procedimientos de el portal estudiantil para hacerlos más eficientes.",Sugerencia,Baja
"Deberían mejorar la comunicación sobre atención al cliente, nadie sabe bien cómo funciona.",Sugerencia,Baja
Ya se pasó el plazo que me dieron para resolver la app móvil y siguen sin cumplir.,Reclamo,Alta
Me prometieron que la plataforma web estaría resuelto en 7 días hábiles. Ya van 7 meses y el problema persiste. Voy a escalar a los organismos de control si no hay respuesta esta semana.,Reclamo,Alta
"Mediante el presente escrito elevo reclamo por el área de nómina, solicitando solución inmediata so pena de acudir a los organismos de control.",Reclamo,Alta
Mi empleador me pide un documento de devoluciones para renovar mi contrato. ¿Cuánto tiempo tarda el trámite y qué debo presentar?,Petición,Baja
"Mediante el presente escrito elevo reclamo por el sistema de citas, solicitando solución inmediata so pena de acudir a los organismos de control.",Reclamo,Alta
Presento reclamo formal por cobro indebido en la app móvil. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Alta
"Sugiero se contemple la posibilidad de digitalizar los trámites de matrícula, lo cual reduciría costos operativos y mejoraría la satisfacción del usuario.",Sugerencia,Media
Presento reclamo formal por cobro indebido en el sistema de citas. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Alta
"Elevo propuesta de mejora para el servicio técnico, considerando que su optimización beneficiaría a un gran número de usuarios.",Sugerencia,Baja
El mes pasado me hicieron un cobro que no corresponde. Quisiera que lo revisaran y si es un error lo corrijan.,Reclamo,Alta
"Reclamo formalmente la prestación adecuada de el portal estudiantil según el contrato suscrito, el cual no ha sido cumplido en sus términos.",Reclamo,Alta
"El personal de el portal estudiantil me dio información incorrecta que me hizo perder tiempo y dinero. Cuando volví a reclamar, la funcionaria fue muy grosero.",Queja,Alta
Me citaron a las 8am para atención al cliente y no me atendieron hasta las 12:30pm sin ninguna explicación sobre la demora. Perdí medio día de trabajo.,Queja,Baja
Requiero certificado de atención al cliente.,Petición,Baja
Incumplimiento grave en la plataforma web. Exijo respuesta.,Reclamo,Alta
He observado que el servicio técnico tiene cuellos de botella en horas pico. Una solución sería habilitar citas virtuales para descongestionar la atención presencial.,Sugerencia,Baja
Por fabor necesito información de mis tramites lo antes posible.,Petición,Baja
Presento reclamo formal por cobro indebido en la renovación de documentos. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Alta
"Sería buenísimo que mejoraran pagos en línea, todos los usuarios se quejan de lo mismo.",Sugerencia,Media
Pido información actualizada sobre el sistema de pagos.,Petición,Media
"Hola, ¿me pueden ayudar con información sobre los trámites de matrícula? No sé muy bien a quién dirigirme.",Petición,Baja
Firmé un contrato que garantizaba ciertos estándares en el área de nómina. Desde el primer día el servicio ha sido deficiente y nadie asume responsabilidad.,Reclamo,Alta
Muy mala atención en el portal estudiantil.,Queja,Baja
Llevo esperando semanas por los trámites de matrícula.,Queja,Baja
Por fabor necesito información de mis tramites lo antes posible.,Petición,Baja
Trabajo en el sector y puedo decir que otras entidades han mejorado la plataforma web implementando notificaciones automáticas. Sería fácil de adoptar aquí.,Sugerencia,Media
"Exijo el cumplimiento de lo acordado en el sistema de pagos. Han transcurrido 1 meses sin respuesta, lo cual constituye un incumplimiento contractual.",Reclamo,Alta
Me prometieron que el proceso de inscripción estaría resuelto en 6 días hábiles. Ya van 6 meses y el problema persiste. Voy a escalar a los organismos de control si no hay respuesta esta semana.,Reclamo,Alta
Me podrían decir qué documentos necesito para pagos en línea? Gracias de antemano.,Petición,Baja
Me prometieron que los turnos de atención estaría resuelto en 5 días hábiles. Ya van 5 meses y el problema persiste. Voy a escalar a los organismos de control si no hay respuesta esta semana.,Reclamo,Alta
"Por medio de la presente, solicito comedidamente que se me suministre información detallada sobre el portal estudiantil, conforme a los procedimientos establecidos.",Petición,Baja
El personal fue amable pero el proceso tardó cuatro horas para algo que debería durar veinte minutos. Creo que hay algo que mejorar.,Sugerencia,Baja
